iter	Passed	Remaining
0	0	1039
1	1	890
2	1	859
3	2	823
4	2	888
5	3	849
6	3	830
7	4	806
8	4	788
9	5	780
10	5	794
11	6	787
12	6	778
13	7	769
14	7	789
15	8	772
16	8	765
17	9	771
18	10	781
19	10	777
20	10	772
21	11	766
22	11	764
23	12	765
24	13	777
25	13	787
26	14	786
27	14	785
28	15	780
29	15	781
30	16	774
31	16	770
32	17	767
33	17	760
34	18	753
35	18	749
36	18	744
37	19	743
38	19	737
39	20	739
40	20	737
41	21	735
42	21	733
43	22	730
44	22	733
45	23	744
46	24	742
47	24	743
48	25	747
49	25	747
50	26	744
51	26	742
